month,year,pres,pre,consp,e1,e2,e3,pricee3,amount
jan,2015,1513,1316,197,30,70,97,5.25,983
feb,2015,1747,1513,234,30,70,100,5.25,1229
mar,2015,1949,1747,202,30,70,100,5.25,1012
apr,2015,2206,1949,257,30,70,157,5.25,
may,2015,2469,2206,263,30,70,100,5.4,1446
jun,2015,2691,2469,222,30,70,100,5.4,1161
jul,2015,2889,2691,198,30,70,98,5.4,955
agu,2015,3087,2889,198,30,70,98,5.4,1008
sep,2015,3220,3087,133,30,70,33,5.4,629
oct,2015,3362,3220,142,30,70,42,5.4,698
nov,2015,3540,3362,178,30,70,78,5.4,908
dec,2015,3705,3540,165,30,70,65,5.4,841
jan,2016,3920,3705,215,30,70,100,5.4,1129
feb,2016,4095,3920,175,30,70,75,5.4,
mar,2016,4281,4095,186,30,70,86,5.4,942
apr,2016,4511,4281,230,30,70,100,5.4,1224
may,2016,4706,4511,195,30,70,95,5.9,1083
jun,2016,4896,4706,190,30,70,90,5.9,1061
jul,2016,5063,4896,167,30,70,67,5.9,912
agu,2016,5225,5063,162,30,70,62,5.9,880
sep,2016,5371,5225,146,30,70,46,5.9,
oct,2016,5551,5371,180,30,70,80,5.9,995
nov,2016,5710,5551,159,30,70,59,5.9,859
dec,2016,5842,5710,132,30,70,32,5.9,752
jan,2017,5994,5842,152,30,70,52,5.9,831
feb,2017,6157,5994,163,30,70,63,5.9,
mar,2017,6313,6157,156,30,70,56,5.9,853
apr,2017,6476,6313,163,30,70,63,5.9,899
may,2017,6669,6476,193,30,70,93,5.9,
jun,2017,6841,6669,172,30,70,72,6.25,1031
jul,2017,7012,6841,171,30,70,71,6.25,883
agu,2017,7163,7012,151,30,70,51,6.25,903
sep,2017,7327,7163,164,30,70,64,6.25,991
oct,2017,7467,7327,140,30,70,40,6.25,
nov,2017,7614,7467,147,30,70,47,6.25,876
dec,2017,7757,7614,143,30,70,70,6.25,
jan,2018,7912,7757,155,30,70,55,6.25,929
feb,2018,8035,7912,123,30,70,23,6.25,745
mar,2018,8161,8035,126,30,70,26,6.25,734
apr,2018,8321,8161,160,30,70,60,6.25,940
may,2018,8435,8321,114,30,70,74,6.25,1032
jun,2018,8662,8495,167,30,70,67,6.5,1116
jul,2018,8823,8662,161,30,70,61,6.5,872
